Be cool.	Entspann dich!
Tom ate the apple that Mary had left on the dining room table.	Tom aß den Apfel, den Maria auf dem Esszimmertisch gelassen hatte.
Tom has been racking his brains for a solution to the problem.	Tom hat sich den Kopf zerbrochen über eine Lösung des Problems.
Tom has some very important things he needs to do before 2:30.	Tom muss bis halb drei ein paar sehr wichtige Dinge erledigen.
Tom sat there silently watching Mary eat the last of the food.	Tom saß schweigend da und sah zu, wie Maria die letzten Lebensmittel aß.
Tom's head was smashed in with a crowbar or something similar.	Tom wurde mit einer Brechstange oder etwas Ähnlichem der Schädel eingeschlagen.
Watch out for the sparks that are flying out of the fireplace!	Gib auf die Funken acht, die aus dem Kamin stieben!
World War II came to an end in the 20th year of the Showa era.	Der Zweite Weltkrieg endete im Jahre zwanzig der Shōwa-Zeit.
You might not like this beer at first. It's an acquired taste.	Das Bier wird dir vielleicht zuerst nicht schmecken. Man muss auf den Geschmack kommen.
A good book is the best of friends, the same today and forever.	Ein gutes Buch ist der beste Freund, jetzt und für immer.
A quarterly growth of 1.2% means an annual growth rate of 4.8%.	Ein vierteljährlicher Zuwachs von 1,2 % bedeutet eine jährliche Zuwachsrate von 4,8 %.
A successful business is built on careful financial management.	Ein erfolgreicher Betrieb fußt auf sorgfältigem Finanzmanagement.
Do you think Tom would like to go camping with us next weekend?	Glaubt ihr, Tom hätte Lust, nächstes Wochenende mit uns zelten zu gehen?
England is a country that I've wanted to visit for a long time.	England ist ein Land, das ich schon seit langem besuchen will.
I just got a beautiful bunch of flowers from one of my clients.	Ich habe gerade von einem meiner Kunden einen schönen Blumenstrauß bekommen.
I know a woman whose first and last names are the same as mine.	Ich kenne eine Frau, die den gleichen Vor- und Nachnamen wie ich hat.
I thought that I told you I didn't want you to do that anymore.	Ich habe dir doch gesagt, dass du das nicht mehr sollst.
I wonder if Tom would mind babysitting our kids tomorrow night.	Ob Tom wohl etwas dagegen hätte, morgen Abend auf unsere Kinder aufzupassen?
I wonder whether Tom has ever considered going to a specialist.	Ich frage mich, ob Tom es je in Erwägung gezogen hat, sich an einen Spezialisten zu wenden.
I've got a feeling Tom doesn't really know how to speak French.	Ich habe so den Eindruck, Tom kann gar nicht richtig Französisch.
In Alaska you can see natural phenomena like the aurora, right?	In Alaska kann man Naturphänomene wie das Polarlicht sehen, stimmt's?
It may not be the best wine there is. It's pretty good, though.	Das ist vielleicht nicht der beste Wein, den es gibt, aber er ist trotzdem ziemlich gut.
It's going to be difficult to find somebody to do that for you.	Es wird schwer jemanden zu finden, der das für dich macht.
Mary wrote her number on a piece of paper and handed it to Tom.	Maria schrieb ihre Nummer auf ein Blatt Papier und gab es Tom.
Millions of people were living in poverty after the earthquake.	Millionen von Menschen lebten nach dem Erdbeben in Armut.
Please call me when you have decided what you would like to do.	Bitte rufen Sie mich an, sobald Sie entschieden haben, was Sie machen wollen.
The old lady was kind enough to show me the way to the station.	Die alte Frau wies mir freundlich den Weg zum Bahnhof.
They thought it would be too expensive to build a factory here.	Man war der Ansicht, dass es zu teuer wäre, hier eine Fabrik zu errichten.
This firm manufactures cars at the rate of two hundred per day.	Diese Firma stellt zweihundert Autos am Tag her.
Tom became a dancer even though his parents didn't want him to.	Tom wurde Tänzer, obwohl seine Eltern das nicht wollten.
Tom can't tell the difference between cheap and expensive wine.	Tom kann nicht zwischen billigem und teurem Wein unterscheiden.
Tom made a lot of suggestions, but none of them were very good.	Tom machte eine Menge Vorschläge, aber keiner dieser war sonderlich gut.
Tom said that he thought that Mary might need to do that today.	Tom meinte, dass Maria das möglicherweise heute tun müsse.
Tom wanted to ask Mary out, but he was afraid she would say no.	Tom wollte Maria bitten, mit ihm auszugehen, aber er hatte Angst vor einem Korb.
What did you think when you actually met me for the first time?	Was hast du gedacht, als du mich zum ersten Mal überhaupt getroffen hast?
A man was seen acting suspiciously shortly before the explosion.	Kurz vor der Explosion wurde ein sich verdächtig verhaltender Mann gesehen.
A spell of fine weather enabled us to get the harvest in safely.	Eine Schönwetterperiode ermöglichte uns, die Ernte sicher einzubringen.
Bring an umbrella because it is expected to rain this afternoon.	Nimm einen Schirm mit, denn es ist für den Nachmittag Regen angesagt.
Do you think I'd be stupid enough to come here without a weapon?	Glaubst du, ich wäre so dumm, hier ohne eine Waffe aufzutauchen?
Even though he lives next door, he doesn't even say hello to us.	Obwohl er gleich nebenan wohnt, sagt er uns nicht einmal hallo.
I learned how to cook Chinese food while I was living in Boston.	Ich habe chinesisch kochen gelernt, als ich in Boston wohnte.
I think it wouldn't be too hard to come up with a better system.	Ich denke, dass es nicht allzu schwierig wäre, ein besseres System zu entwickeln.
I'm sorry to be so late. The meeting completely slipped my mind.	Tut mir leid, dass ich so spät bin. Ich hatte das Treffen komplett vergessen.
I'm talking about this pen, not that one over there on the desk.	Ich spreche von diesem Stift, nicht jenem dort auf dem Schreibtisch.
If all goes to plan, I should be back home again tomorrow night.	Wenn alles planmäßig verläuft, sollte ich morgen Abend wieder zuhause sein.
My bicycle had a flat tire, so I missed the seven o'clock train.	Weil mein Fahrrad einen Platten hatte, verpasste ich den 7-Uhr-Zug.
Tom is going to die in the morning for a crime he didn't commit.	Tom wird am Morgen für ein Verbrechen sterben, das er nicht begangen hat.
Tom is probably going to be making more money than me this year.	Tom wird dieses Jahr wahrscheinlich mehr Geld verdienen als ich.
We are good friends now, but we didn't like each other at first.	Jetzt sind wir gute Freunde, doch am Anfang mochten wir uns nicht.
We couldn't open the door because it was locked from the inside.	Weil sie von innen verschlossen war, haben wir die Tür nicht öffnen können.
Could you please tell me how tall you are and how much you weigh?	Könntest du mir bitte sagen, wie groß du bist und wie viel du wiegst?
Everyone thought that Tom was going to be in Boston this weekend.	Alle dachten, Tom wäre über das Wochenende in Boston.
I am going to inform the post office of the change of my address.	Ich werde das Postamt von meiner Adressänderung informieren.
I don't want everybody on the Web to be able to access my photos.	Ich will nicht, dass jeder im Netz Zugriff auf meine Fotos hat.
I plan to throw all of this away. You may take whatever you like.	Ich habe vor, alles hier wegzuschmeißen. Du kannst nehmen, was du willst.
I was thinking you might like to go camping with us this weekend.	Ich dachte, dass du vielleicht an diesem Wochenende gerne mit uns zelten gingest.
I'm angry with my boyfriend for forgetting about Valentine's Day.	Ich bin sauer auf meinen Freund, weil er den Valentinstag vergessen hat.
If I had eaten breakfast this morning, I would not be hungry now.	Hätte ich heute Morgen gefrühstückt, wäre ich jetzt nicht hungrig.
This book will give you a clear idea of the American way of life.	Dieses Buch wird dir eine klare Vorstellung der amerikanischen Lebensweise vermitteln.
Tom lives on a farm with his wife, Mary, not too far from Boston.	Tom lebt mit seiner Frau Mary auf einer Farm, ganz in der Nähe von Boston.
Tom popped into the supermarket on his way home to buy some milk.	Tom fuhr auf dem Heimweg noch schnell beim Supermarkt vorbei, um Milch zu kaufen.
Tom stopped playing the piano as soon as we walked into the room.	Tom hörte auf, Klavier zu spielen, sobald wir ins Zimmer kamen.
Tom wanted to take a picture of Mary, but she didn't want him to.	Tom wollte Maria fotografieren, doch sie war dagegen, dass er das tat.
We found out recently that some foxes live here on this mountain.	Kürzlich fanden wir heraus, dass Füchse hier auf diesem Berg leben.
When Tom reached the front door, he noticed it was slightly open.	Als Tom zur Haustür kam, bemerkte er, dass sie ein wenig offenstand.
You seem to have made considerable progress since I saw you last.	Du scheinst beachtliche Fortschritte gemacht zu haben, seit ich dich das letzte Mal getroffen habe.
You should take the appropriate measures at the appropriate time.	Man sollte die richtigen Maßnahmen zur richtigen Zeit ergreifen.
He didn't divulge the information, not even under pain of torture.	Er gab die Information nicht preis, nicht einmal unter den Torturen der Folter.
He seems not to be aware of the conflict between my father and me.	Er scheint den Konflikt zwischen meinem Vater und mir nicht wahrzunehmen.
If Tom said three hundred dollars, he meant three hundred dollars.	Wenn Tom von dreihundert Dollarn sprach, dann meinte er auch dreihundert.
One of Tom's teachers told him that he'd never amount to anything.	Einer seiner Lehrer sagte zu Tom, dass er es nie zu etwas bringen werde.
Perhaps we can come to some arrangement that works for both of us.	Vielleicht können wir irgendeine Übereinkunft erzielen, die uns beiden passt.
The master has failed more times than the beginner has even tried.	Hinter einem Meister liegen mehr Misserfolge als hinter einem Anfänger Versuche.
Tom and Mary played in the sandbox together and made sand castles.	Tom und Maria spielten zusammen im Sandkasten und bauten Sandburgen.
Tom called me about thirty minutes ago and said he was on his way.	Tom hat mich vor etwa einer halben Stunde angerufen und gesagt, dass er unterwegs sei.
Tom didn't need to think very long before he gave Mary his answer.	Tom brauchte nicht lange nachzudenken, bevor er Mary seine Antwort gab.
Tom might have survived if the paramedics had gotten there faster.	Tom hätte überleben können, wenn die Sanitäter schneller dort gewesen wären.
Tom ought not to have spoken to his teacher in that tone of voice.	Tom hätte mit seinem Lehrer nicht in so einem Ton sprechen sollen.
Tom said he doesn't think that Mary really wants to do that again.	Tom meinte, dass Maria das bestimmt nicht noch einmal tun wolle.
Tom's new puppy is so small he can fit into the palm of your hand.	Toms neuer Welpe ist so klein, dass er Platz auf einer Handfläche findet.
Perhaps we'd better not tell Tom anything about today. "I agree."	„Vielleicht ist es besser, Tom von dem heute nichts zu erzählen.“ – „Das denke ich auch.“
An up-to-date edition of the encyclopedia will come out next month.	Eine aktualisierte Ausgabe des Lexikons wird im nächsten Monat erscheinen.
Do you think there's any chance that Tom knows Mary's phone number?	Denkst du, es wäre möglich, dass Tom Marys Telefonnummer kennt?
Forks go to the left side of the plate, and knives go to the right.	Die Gabel legt man links neben den Teller, das Messer rechts daneben.
I looked around and noticed that mine was the only car on the road.	Ich schaute mich um und stellte fest, dass ich das einzige Auto auf der Straße war.
I'd like to be able to tell Tom that he has nothing to worry about.	Ich möchte Tom gerne sagen können, dass er sich um nichts Sorgen zu machen braucht.
If I could have spoken French better, I might have gotten that job.	Hätte ich besser Französisch gekonnt, dann hätte ich vielleicht den Job bekommen.
It's better to have loved and lost than never to have loved at all.	Es ist besser, geliebt und verloren zu haben, als niemals geliebt zu haben.
Louis Pasteur discovered that germs cause most infectious diseases.	Louis Pasteur hat entdeckt, dass die meisten ansteckenden Krankheiten von Keimen verursacht werden.
Of course, to be valuable, an old carpet must be in good condition.	Natürlich, um wertvoll zu sein, muss der alte Teppich in einem guten Zustand bewahrt worden sein.
Ten years have passed since I came to Tokyo at the age of eighteen.	Zehn Jahre ist es her, seit ich mit achtzehn nach Tokio kam.
The F1 champion Michael Schumacher sustained a serious head injury.	Der Formel-1-Sieger Michael Schumacher erlitt eine schwere Kopfverletzung.
The hill on which my house stands commands a full view of the city.	Von dem Hügel aus, auf dem mein Haus steht, hat man einen Blick über die gesamte Stadt.
The politician did not bother to apologize for betraying our trust.	Der Politiker machte sich nicht die Mühe, sich dafür zu entschuldigen, unser Vertrauen missbraucht zu haben.
Three boys came in. I spoke to the boy who seemed to be the oldest.	Drei Jungen kamen herein. Ich sprach den an, der mir der älteste zu sein schien.
Tom decided that he wouldn't tell Mary anything about the incident.	Tom beschloss, Mary nichts von dem Vorfall zu erzählen.
Tom said that he thought Mary knew why John had become a policeman.	Tom sagte, dass er dachte, Maria wisse, warum Johann Polizist geworden war.
Tom was vacuuming the rug while Mary was mopping the kitchen floor.	Tom saugte den Teppich, während Mary den Küchenboden wischte.
Friendliness is a language the deaf can hear and the blind can read.	Freundlichkeit ist eine Sprache, die Taube hören und Blinde lesen können.
I stumbled across this problem when I was working on something else.	Ich stieß auf dieses Problem, als ich gerade an etwas anderem arbeitete.
I think Tom needs to start hanging out with someone other than Mary.	Ich finde, Tom sollte anfangen, sich mit jemand anderem als Maria herumzutreiben.
If you tell people what they want to hear, they'll do what you want.	Wenn du den Menschen sagst, was sie hören wollen, werden sie machen, was du willst.
The boy you met at my house yesterday can play the drums quite well.	Der Junge, den du gestern bei mir zu Hause kennengelernt hast, kann ziemlich gut Schlagzeug spielen.
The neighbors will call the police if you don't turn the music down.	Die Nachbarn werden die Polizei rufen, wenn Sie die Musik nicht leiser stellen.
Tom and Mary rented a room in one of Boston's most luxurious hotels.	Tom und Maria nahmen sich ein Zimmer in einem der luxuriösten Hotels von Boston.
Tom said he didn't know that eventually Mary was going to leave him.	Tom sagte, er habe nicht geahnt, dass Maria ihn letzten Endes verlassen würde.
Tom says he wants me to leave, but I don't think he really means it.	Tom sagt zwar, er wolle, dass ich gehe, aber ich glaube nicht, dass er das wirklich ernst meint.
We will be studying at the University of San Francisco in September.	Wir werden im September an der Universität von San Francisco studieren.
All the houses on my street lost power this morning due to the storm.	Aufgrund des Sturmes ist heute Morgen in allen Häusern unserer Straße der Strom ausgefallen.
I can't figure out how Tom managed to lose so much weight so quickly.	Ich kann mir keinen Reim darauf machen, wie es Tom gelungen ist, so schnell so viel abzunehmen.
I have trouble falling asleep because I always have a lot on my mind.	Ich habe Schwierigkeiten einzuschlafen, weil mir immer viel durch den Kopf geht.
If you come across an unfamiliar word, look it up in your dictionary.	Wenn du auf ein unbekanntes Wort triffst, schlag es im Wörterbuch nach.
Most Americans do not object to my calling them by their first names.	Die meisten Amerikaner haben nichts dagegen, dass ich sie mit Vornamen anspreche.
Some farmers are using donkeys to protect their sheep from wild dogs.	Manche Farmer schützen ihre Schafe mit Eseln vor wilden Hunden.
Televisions with vacuum tubes are regarded as being behind the times.	Fernseher mit Vakuumröhren werden als veraltet angesehen.
The best way to help us is to contribute in your own native language.	Auf die beste Art und Weise hilfst du uns durch Beiträge in deiner Muttersprache.
The train will be leaving in five minutes so you had better hurry up.	Der Zug wird in fünf Minuten abfahren. Du solltest dich besser beeilen.
They can come on Monday or Tuesday, but not on Wednesday or Thursday.	Sie können am Montag oder Dienstag kommen, aber nicht am Mittwoch oder Donnerstag.
Tom and Mary fell in love while they were on a scientific expedition.	Tom und Maria verliebten sich während einer wissenschaftlichen Expedition ineinander.
Tom decided to marry Mary even though his parents didn't want him to.	Tom beschloss, Maria zu heiraten, obwohl seine Eltern das nicht wollten.
Tom said that he thought that Mary needed to do that before she left.	Tom meinte, Maria müsse das noch erledigen, bevor sie gehe.
Tom tried to persuade Mary to do something she knew she shouldn't do.	Tom versuchte, Maria zu etwas zu überreden, wovon sie wusste, dass sie es besser ließe.
We can't just cut people's salaries without giving them some warning.	Wir können nicht einfach die Gehälter der Leute kürzen, ohne sie zu warnen.
You must kneel at my feet, kiss my hand and swear that I am an angel.	Du musst zu meinen Füßen knien, meine Hand küssen und schwören, dass ich ein Engel sei.
First, we will present a petition to the mayor and collect signatures.	Zuerst werden wir dem Bürgermeister eine Petition vorlegen und Unterschriften sammeln.
I have always fed my dog the dog food that comes in the big green bag.	Ich habe meinem Hund immer das Hundefutter zu fressen gegeben, das in diesen großen, grünen Tüten vertrieben wird.
If only she had known I was in Tokyo, she would have come to visit me.	Wenn sie nur gewusst hätte, dass ich in Tokio war, wäre sie mich besuchen gekommen.
The food wasn't very delicious, but otherwise the party was a success.	Das Essen war nicht sehr lecker, sonst war die Party aber ein Erfolg.
Tom and Mary said that they didn't care whether we helped them or not.	Tom und Maria sagten, es sei ihnen egal, ob wir ihnen helfen.
Tom calls Mary every night and talks with her for at least 45 minutes.	Tom ruft Mary jeden Abend an und spricht mindestens 45 Minuten lang mit ihr.
Tom drove to Boston in a car that he borrowed from one of his friends.	Tom fuhr nach Boston mit einem Wagen, den er sich von einem seiner Freunde geliehen hatte.
Tom turned off the living room light and went upstairs to his bedroom.	Tom schaltete das Licht im Wohnzimmer aus und ging nach oben in sein Schlafzimmer.
Tom wanted to impress his friends, but he just made a fool of himself.	Tom wollte seine Freunde beeindrucken, aber er machte sich nur lächerlich.
I'm sorry to trouble you, but could you tell me the way to the station?	Entschuldigen Sie die Störung, aber könnten Sie mir vielleicht sagen, wie ich zum Bahnhof komme?
It is not until you get sick that you realize the value of good health.	Erst wenn du krank wirst, lernst du den Wert einer guten Gesundheit schätzen.
My parents don't like my girlfriend. They say that she's a gold digger.	Meine Eltern mögen meine Freundin nicht. Sie sagen, dass sie nur aufs Geld aus ist.
This is what happens when you don't pay attention to what you're doing.	Das kommt davon, wenn man sich nicht bei der Sache ist!
Tom bad-mouthed Mary to all his friends and family after their breakup.	Tom machte Maria nach seiner Trennung von ihr bei all seinen Freunden und seiner Familie schlecht.
Why don't you look into the problem yourself? It's your responsibility.	Warum kümmern Sie sich nicht selbst um das Problem? Es fällt in Ihren Verantwortungsbereich.
If I make an exception for you, everyone will expect the same treatment.	Wenn ich für dich eine Ausnahme mache, werden alle die gleiche Behandlung erwarten.
If you have no liking for modern music, you will not enjoy this concert.	Wenn Sie keine Neigung für moderne Musik haben, wird Ihnen das Konzert nicht gefallen.
Tom never forgets to give his wife flowers on their wedding anniversary.	Tom vergisst nie, seiner Ehefrau zum Hochzeitstag Blumen zu schenken.
Tom said he thought that Mary might have to stay in Boston until Monday.	Tom meinte, dass Maria möglicherweise bis Montag in Boston würde bleiben müssen.
Tom wished that his classmates would treat each other with more respect.	Tom wünschte sich, dass seine Klassenkameraden respektvoller miteinander umgehen würden.
We can stay here for as long as our supplies of food and water hold out.	Wir können hierbleiben, solange unsere Nahrungsmittel- und Wasservorräte ausreichen.
Father kept in touch with us by mail and telephone while he was overseas.	Unser Vater blieb mit uns per Post und Telefon in Kontakt, während er in Übersee war.
His large income makes it possible for him to travel overseas every year.	Sein großes Einkommen ermöglicht ihm jedes Jahr Überseereisen.
I'd like to know the phone number of the nearest American Express office.	Ich hätte gern die Telefonnummer des nächsten American-Express-Büros.
In 1918, revolts due to the price of rice erupted all around the country.	1918 kam es wegen des Reispreises im ganzen Land zu Aufständen.
Keeping up with the Joneses is expensive in rich town like Beverly Hills.	Mit den Nachbarn mitzuhalten ist in reichen Städten wie Beverly Hills sehr teuer.
She was allowed to go to the disco on condition that she was back by ten.	Sie durfte in die Disko, aber nur unter der Bedingung, um zehn Uhr zurück zu sein.
This kind of specialized knowledge has very little to do with daily life.	Diese Art Spezialwissen hat mit dem Alltagsleben wenig zu tun.
Tom asked for Mary's address and wrote it down on a piece of scrap paper.	Tom fragte nach Marys Adresse und schrieb sie auf einen Zettel.
Tom hadn't washed dishes in a week, so the sink was full of dirty dishes.	Tom hatte schon seit einer Woche nicht mehr abgewaschen. Die Spüle war daher voll schmutzigen Geschirrs.
Tom told me that he could hear something, but he wasn't sure what it was.	Tom sagte mir, dass er etwas hören könne, aber nicht sicher wisse, was es sei.
Tom was rushed to the hospital after being found unconscious in his home.	Tom wurde eilends ins Krankenhaus gebracht, nachdem er bei sich zu Hause bewusstlos aufgefunden worden war.
We heard that Tom had committed suicide, but we didn't really believe it.	Wir hörten, dass Tom Selbstmord verübt hat, aber wir konnten es bald nicht glauben.
You have certain privileges and therefore corresponding responsibilities.	Du hast gewisse Privilegien und daher auch entsprechende Pflichten.
At first, he thought English very difficult, but now he thinks it is easy.	Zuerst fand er Englisch sehr schwer, aber jetzt findet er es einfach.
I promised my parents I would visit them at least once every three months.	Ich habe meinen Eltern versprochen, sie wenigstens einmal alle drei Monate zu besuchen.
It would be a pity if you missed out on seeing Tom while you're in Boston.	Es wäre schade, wenn du es dir entgehen ließest, Tom zu treffen, solange du in Boston bist.
Mary usually gives Tom the silent treatment after they've had an argument.	Maria straft Tom nach einem Streit gewöhnlich mit Schweigen.
Tom said that he thought Mary needed at least $300 to buy what she needed.	Tom meinte, dass Maria zum Kauf des Nötigen mindestens 300 Dollar brauchen würde.
Tom used to always wear a watch, but now he just looks at his smart phone.	Sonst trug Tom immer eine Armbanduhr. Jetzt guckt er einfach nur auf sein Schlaufon.
Have you ever been to New York? "Yes, I've been there a couple of times."	Waren Sie schon mal in New York? "Ja, ich war einige Male dort."
I need to hide these Christmas presents somewhere that Tom can't find them.	Ich muss diese Weihnachtsgeschenke irgendwo verstecken, wo Tom sie nicht finden kann.
In America, the consumption of fast-food has tripled between 1977 and 1995.	In Amerika hat sich der Verzehr von Fastfood von 1977 bis 1995 verdreifacht.
In judging his work, you should make allowances for his lack of experience.	Du musst bei der Beurteilung seiner Arbeit seinen Erfahrungsmangel berücksichtigen.
Isn't it about time you guys buried the hatchet and let bygones be bygones?	Wird es nicht langsam mal Zeit, dass ihr euren Streit beendet und das Vergangene vergangen sein lasst?
The research done by them shows that Americans are not interested in Japan.	Die von ihnen durchgeführte Untersuchung zeigt, dass Amerikaner sich nicht für Japan interessieren.
This is the unforgettable place where we met each other for the first time.	Das ist der unvergessliche Ort, an dem wir uns zum ersten Mal getroffen haben.
Tom spends a lot of time looking for his car keys, mobile phone or glasses.	Tom bringt viel Zeit damit zu, nach seinen Autoschlüsseln, seinem Mobiltelefon oder seiner Brille zu suchen.
Tom was unprepared for the scathing criticism meted out to him by his boss.	Tom war nicht vorbereitet auf die scharfe Kritik, die sein Chef an ihm übte.
Tom writes something in his diary every evening, no matter how tired he is.	Tom schreibt jeden Abend etwas in sein Tagebuch, egal, wie müde er ist.
We spent all of that night, the next day, and the next night in the cellar.	Wir verbrachten die ganze Nacht, den nächsten Tag und die folgende Nacht im Keller.
When Tom ate some food that had fallen on the floor, Mary looked disgusted.	Maria sah angewidert aus, als Tom etwas aß, was auf den Boden gefallen war.
An hour of sleep before midnight is worth two hours of sleep after midnight.	Eine Stunde Schlaf vor Mitternacht ist so viel wert wie zwei Stunden Schlaf nach Mitternacht.
Blind people read by touching, using a system of raised dots called Braille.	Blinde Menschen lesen durch Berühren, indem sie ein System von erhabenen Punkten namens Brailleschrift benutzen.
Don't forget to spend a little time looking over your notes before the exam.	Vergessen Sie nicht, sich vor der Prüfung Ihre Mitschrift ein bisschen anzusehen.
He argued that the new policy was bound to drive the economy into recession.	Er argumentierte, dass der Richtungswechsel in der Politik zwangsläufig die Wirtschaft in die Rezession führen würde.
If a man had 11 sheep and all but 9 died, how many sheep would he have left?	Wenn ein Mann elf Schafe hat und alle außer neun sterben, wie viele Schafe bleiben ihm?
If you only had one more week to live, what would you spend your time doing?	Wenn du nur noch eine Woche zu leben hättest, womit verbrächtest du dann deine Zeit?
The United States Ambassador in Syria left the country for security reasons.	Der Botschafter der Vereinigten Staaten in Syrien verließ das Land aus Gründen der Sicherheit.
Tom believes that getting married to Mary was the best thing he's ever done.	Tom glaubt, nie etwas Besseres getan zu haben, als Maria zu heiraten.
Tom copied all the files on his internal hard disk to an external hard disk.	Tom kopierte alle Daten seiner internen Festplatte auf eine externe.
Tom speaks five languages, but doesn't know how to be polite in any of them.	Tom spricht fünf Sprachen, aber in keiner hiervon versteht er es, höflich zu sein.
Tom wondered whether Mary was happy with how John had handled the situation.	Tom fragte sich, ob Maria wohl damit zufrieden war, wie Johannes die Situation gehandhabt hatte.
I had to cancel that order because we didn't have enough money to pay for it.	Ich musste die Bestellung stornieren, weil mir das Geld zur Bezahlung fehlte.
I saw three sets of footprints in the snow from the road up to my front door.	Ich sah drei Pfade von Fußspuren, die von der Straße zu meiner Haustür führten.
I want each of you to take out a piece of paper and write down what happened.	Ich möchte, dass ihr euch alle ein Blatt Papier nehmt und aufschreibt, was geschehen ist.
I'd like to ask you some questions about some of the people who work for you.	Ich möchte Ihnen gerne ein paar Fragen zu einigen der Leuten stellen, die für Sie arbeiten.
There is an urgent need for a more effective method of treating this disease.	Eine effektivere Methode, diese Krankheit zu behandeln, wird dringend benötigt.
Tickets are valid for just two days, including the day they are purchased on.	Die Karten gelten nur zwei Tage, inklusive dem Tag, an dem sie gekauft wurden.
Tom wondered if he should pretend to appreciate the dinner Mary made for him.	Tom überlegte, ob er so tun sollte, als läge ihm etwas an dem Abendessen, das Maria für ihn zubereitet hatte.
What should we do with people who are very sick or hurt and can't get better?	Was sollen wir mit Leuten machen, die, schwer krank oder verletzt, keine Aussicht auf Genesung haben?
I googled "knife and fork" and "fork and knife" to see which got more results.	Ich googelte „Messer und Gabel“ und „Gabel und Messer“, um zu sehen, was mehr Treffer erzielt.
In this course, we'll spend time helping you sound more like a native speaker.	In diesem Kursus werden wir die Zeit damit zubringen, Ihnen zu helfen, muttersprachlicher zu klingen.
There is a really good restaurant just off the beach that I think you'd enjoy.	Es gibt ganz in der Nähe des Strandes ein richtig gutes Restaurant, in dem es dir bestimmt gefiele.
Tom and Mary broke up, so they won't be going to the dance together on Friday.	Tom und Maria haben sich getrennt. Daher kommen sie am Freitag nicht zusammen zum Tanz.
Tom wanted me to tell you to buy a couple of loaves of bread on your way home.	Ich soll Ihnen von Tom mitteilen, dass Sie auf dem Heimweg ein paar Laib Brot kaufen sollen.
Tom was afraid that Mary might poke her eye out, so he told her to be careful.	Tom mahnte Maria zur Vorsicht, da er befürchtete, dass sie sich sonst das Auge ausstechen könnte.
Would you mind making an extra cup of coffee whenever you decide to have some?	Würde es Ihnen etwas ausmachen, eine zusätzliche Tasse Kaffee zu kochen, wann immer Sie sich dazu entscheiden welchen aufzusetzen?
How many times a week do you play tennis? "I play tennis three times a week."	Wie oft in der Woche spielst du Tennis? "Ich spiele drei Mal die Woche Tennis."
Barcelona is the capital of Catalonia, and is the second biggest city in Spain.	Barcelona ist die Hauptstadt von Katalonien und die zweitgrößte Stadt in Spanien.
I realize the effort you have put into this project and I really appreciate it.	Mir ist bewusst, welche Mühe Sie in dieses Projekt investiert haben, und ich weiß das wirklich zu schätzen.
I remember it as if it were yesterday, but in reality it was fifteen years ago.	Ich erinnere mich daran, als wäre es gestern gewesen, doch in Wirklichkeit ist es schon fünfzehn Jahre her.
Improved medical technology has been one of the spin-offs of the space program.	Verbesserte Medizintechnik ist einer der Nebeneffekte des Raumfahrtprogramms gewesen.
In the 1960's, Japanese college students demonstrated against their government.	In den 1960er Jahren gingen japanische Studenten gegen ihre Regierung auf die Straße.
The road across the mountain was narrow, and what's more, it was a steep slope.	Der Weg, der den Berg überquert, war eng, und dazu noch sehr steil.
Tom's car is easily recognizable since there is a big dent in the front bumper.	Toms Auto ist an der großen Delle am vorderen Stoßdämpfer leicht erkennbar.
We found one large footprint and a couple of different size smaller footprints.	Wir fanden einen großen Fußabdruck und mehrere kleinere verschiedener Größen.
I asked Tom how much he thought it would cost to get someone to paint our house.	Ich fragte Tom, wie viel er meine, dass es kosten würde, das Haus von jemandem streichen zu lassen.
I don't want to have to hurt you, but if you get in my way, I'll have no choice.	Ich möchte euch nicht weh tun, aber wenn ihr mir in die Quere kommt, habe ich keine andere Wahl.
Is it necessary to live in a French-speaking country to become fluent in French?	Muss man in einem französischsprachigen Land leben, um fließend im Französischen zu werden?
My band will perform this week at Chuck's Bar and Grill. Please come and see us.	Meine Musikgruppe hat diese Woche einen Auftritt in „Kalles Kneipe“. Komm doch vorbei!
Tom admitted that it was due to his carelessness that the accident had happened.	Tom gestand ein, dass es infolge seiner Fahrlässigkeit zu dem Unfall gekommen war.
As long as it's not too much of a bother, people like to be nice to other people.	So lange es nicht zu beschwerlich ist, sind die Menschen gerne freundlich zu anderen Menschen.
Had it not been for your cooperation, I could not have finished the work in time.	Ohne deine Mithilfe wäre ich mit dieser Arbeit nicht rechtzeitig fertig geworden.
Everyone in the room burst out laughing when they saw Tom slip on the banana peel.	Alle im Zimmer lachten los, als sie Tom auf der Bananenschale ausrutschen sahen.
I met an old man who says that he's never eaten at a restaurant in his whole life.	Ich traf einen alten Mann, der sagte, dass er in seinem gesamten Leben noch nie in einem Restaurant gegessen habe.
It'll take longer to tell you how to do it than to just go ahead and do it myself.	Es geht schneller, wenn ich das gerade selbst erledige, als wenn ich es dir erkläre.
My parents don't like my girlfriend. They think that she's not good enough for me.	Meine Eltern mögen meine Freundin nicht. Sie finden, sie sei für mich nicht gut genug.
Tom certainly gave the impression that he wasn't planning on being there tomorrow.	Tom hat zweifellos den Eindruck erweckt, dass er nicht vorhat, morgen zu kommen.
Tom couldn't completely rule out the possibility that he was going to get drafted.	Tom konnte die Möglichkeit nicht ganz ausschließen, dass er eingezogen würde.
